scenario_id,scenario_text,category,rationale,suggested_action,safety_flag,data_source,review_status
D03,"Stop suggesting workouts. I am not doing one today.",decline,"The user explicitly asks the system to stop persuading them.","Stop recommendations and close the flow without repeated prompts.",false,"LLM-assisted synthetic seed data","manually review required"
D04,"The suggestions are making me feel pressured, so I want to end this decision.",decline,"The user identifies recommendation pressure and asks to stop.","End support with a neutral confirmation and no substitute plan.",false,"LLM-assisted synthetic seed data","manually review required"
D05,"I am not interested in walking, stretching, or another replacement today.",decline,"The user explicitly declines common substitute options.","Treat decline as a complete outcome rather than a failed attempt.",false,"LLM-assisted synthetic seed data","manually review required"
D06,"Cancel today's workout and do not move it to another day.",decline,"The user asks for cancellation without rescheduling.","Cancel the current plan and avoid creating another commitment.",false,"LLM-assisted synthetic seed data","manually review required"
D07,"I changed my mind. I do not want to continue this exercise conversation.",decline,"The user withdraws from both the workout and the decision flow.","End the flow immediately and preserve the user's control.",false,"LLM-assisted synthetic seed data","manually review required"
D08,"我今天明确不想运动，也不需要替代方案。",decline,"用户明确拒绝原计划和替代活动。","确认用户选择并结束建议，不继续劝说。",false,"LLM-assisted synthetic seed data","manually review required"
D09,"请取消今天的训练，不要自动改期，也不要推荐散步。",decline,"用户要求取消且拒绝改期和轻量替代方案。","取消当前计划并以中性方式结束流程。",false,"LLM-assisted synthetic seed data","manually review required"
S01,"A sudden sharp pain started in my knee during the workout.",safety_stop,"A predefined safety phrase requires a rule-based stop before similarity matching.","This prototype does not provide medical diagnosis. Stop the current exercise plan and consider appropriate professional support depending on the situation.",true,"LLM-assisted synthetic seed data","manually review required"
S02,"I have chest pain while exercising.",safety_stop,"Chest pain is handled by an explicit safety rule, not by model classification.","This prototype does not provide medical diagnosis. Stop the current exercise plan and consider appropriate professional support depending on the situation.",true,"LLM-assisted synthetic seed data","manually review required"
S03,"I feel dizzy and unsteady during the session.",safety_stop,"Dizziness is handled by an explicit safety rule before retrieval.","This prototype does not provide medical diagnosis. Stop the current exercise plan and consider appropriate professional support depending on the situation.",true,"LLM-assisted synthetic seed data","manually review required"
S04,"I am having difficulty breathing during the workout.",safety_stop,"Difficulty breathing is handled by an explicit safety rule before retrieval.","This prototype does not provide medical diagnosis. Stop the current exercise plan and consider appropriate professional support depending on the situation.",true,"LLM-assisted synthetic seed data","manually review required"
S05,"I nearly fainted after the last exercise.",safety_stop,"Fainting language is handled by an explicit safety rule before retrieval.","This prototype does not provide medical diagnosis. Stop the current exercise plan and consider appropriate professional support depending on the situation.",true,"LLM-assisted synthetic seed data","manually review required"
S06,"The unusual shoulder pain is getting worse as I continue.",safety_stop,"Unusual or worsening pain requires the rule-based safety path.","This prototype does not provide medical diagnosis. Stop the current exercise plan and consider appropriate professional support depending on the situation.",true,"LLM-assisted synthetic seed data","manually review required"
S07,"训练时膝盖突然出现尖锐疼痛。",safety_stop,"突然或尖锐疼痛由明确安全规则处理，而不是模型判断。","This prototype does not provide medical diagnosis. Stop the current exercise plan and consider appropriate professional support depending on the situation.",true,"LLM-assisted synthetic seed data","manually review required"
S08,"运动过程中出现胸痛和头晕。",safety_stop,"胸痛和头晕会触发规则式安全覆盖。","This prototype does not provide medical diagnosis. Stop the current exercise plan and consider appropriate professional support depending on the situation.",true,"LLM-assisted synthetic seed data","manually review required"
S09,"我呼吸困难，而且不适正在加重。",safety_stop,"呼吸困难或不适加重会在相似度计算前触发安全覆盖。","This prototype does not provide medical diagnosis. Stop the current exercise plan and consider appropriate professional support depending on the situation.",true,"LLM-assisted synthetic seed data","manually review required"
A10,"After a draining commute I have less energy than planned, although a brief mobility session still feels realistic.",adapt,"The user has lower capacity but remains willing to move in a reduced form.","Offer a brief lower-effort option and keep stopping equally available.",false,"LLM-assisted synthetic seed data","manually reviewed"
A11,"The full recommendation feels demanding, and I would prefer a gentler version with fewer steps.",adapt,"The user responds to pressure by requesting a lower-demand alternative rather than ending the decision.","Reduce the plan and use neutral language that preserves the user's control.",false,"LLM-assisted synthetic seed data","manually reviewed"
P10,"Today's session no longer fits, so place it on tomorrow evening instead.",postpone,"The user explicitly requests a different future time.","Present the requested future time for confirmation without changing it automatically.",false,"LLM-assisted synthetic seed data","manually reviewed"
P11,"I cannot make the current booking; let me choose a later date.",postpone,"The current time is blocked and the user explicitly wants to reschedule.","Offer a later date and retain a visible cancellation option.",false,"LLM-assisted synthetic seed data","manually reviewed"
D10,"Remove the session from today and leave the calendar empty rather than creating a replacement.",decline,"The user cancels the current plan and explicitly rejects a new booking.","Confirm cancellation without proposing another commitment.",false,"LLM-assisted synthetic seed data","manually reviewed"
D11,"I am ending the exercise decision here and do not want another activity suggested.",decline,"The user closes the decision and rejects substitutes.","End the flow neutrally and do not continue recommending activity.",false,"LLM-assisted synthetic seed data","manually reviewed"
